Method,Class,Precision,Recall,F1 Score,Specificity
Hard_voting,Crack,0.867704280155642,0.9409282700421941,0.9028340080971661,0.867704280155642
Hard_voting,Efflorescence,0.84375,0.8709677419354839,0.8571428571428571,0.84375
Hard_voting,Spalling,0.9322033898305084,0.859375,0.8943089430894309,0.9322033898305084
Hard_voting,Undamaged,0.9180327868852459,0.8296296296296296,0.8715953307392996,0.9180327868852459
Soft_voting,Crack,0.8911290322580645,0.9324894514767933,0.911340206185567,0.8911290322580645
Soft_voting,Efflorescence,0.8252427184466019,0.9139784946236559,0.8673469387755103,0.8252427184466019
Soft_voting,Spalling,0.925,0.8671875,0.8951612903225807,0.925
Soft_voting,Undamaged,0.9180327868852459,0.8296296296296296,0.8715953307392996,0.9180327868852459
Sequential_Bayesian,Crack,0.8764940239043825,0.9282700421940928,0.9016393442622952,0.8764940239043825
Sequential_Bayesian,Efflorescence,0.8333333333333334,0.9139784946236559,0.8717948717948718,0.8333333333333334
Sequential_Bayesian,Spalling,0.9098360655737705,0.8671875,0.888,0.9098360655737705
Sequential_Bayesian,Undamaged,0.9322033898305084,0.8148148148148148,0.8695652173913043,0.9322033898305084
